snapshot_date,papers,samples,curves,data_points,figures,unique_dois_in_papers,unique_compositions_in_samples
2026-07-20,56473,105260,234029,4810741,60228,56451,42445
2026-07-21,56473,105260,234029,4810741,60228,56451,42445
2026-07-22,56473,105260,234029,4810741,60228,56451,42445
2026-07-23,56473,105260,234029,4810741,60228,56451,42445
2026-07-24,56474,105260,234029,4810741,60228,56452,42445
2026-07-25,56475,105260,234029,4810741,60228,56453,42445
2026-07-26,56475,105260,234029,4810741,60228,56453,42445
2026-07-27,56475,105260,234029,4810741,60228,56453,42445
2026-07-28,56475,105260,234029,4810741,60228,56453,42445
2026-07-29,56475,105260,234029,4810741,60228,56453,42445
2026-07-30,56498,105291,234089,4811422,60246,56476,42457
2026-07-31,56512,105312,234150,4811482,60255,56490,42477
2026-08-01,56512,105312,234150,4811482,60255,56490,42477
