journal,papers
Journal of Applied Physics,2448
Journal of the American Ceramic Society,2254
Journal of Alloys and Compounds,2106
Physical Review B,1639
Applied Physics Letters,1566
Journal of Electronic Materials,1307
Ceramics International,1136
ACS Applied Materials & Interfaces,1009
Journal of Magnetism and Magnetic Materials,807
Journal of the European Ceramic Society,782
Journal of Materials Chemistry A,609
IEEE Transactions on Magnetics,604
Journal of Physics: Conference Series,522
Chemistry of Materials,510
Journal of Physics: Condensed Matter,497
Solid State Communications,456
Journal of Solid State Chemistry,450
Journal of Materials Science: Materials in Electronics,443
Physica B: Condensed Matter,443
Materials Letters,439
Advanced Functional Materials,435
Journal of Materials Science,418
AIP Advances,414
Journal of Physics D: Applied Physics,404
Japanese Journal of Applied Physics,370
ACS Applied Materials &amp; Interfaces,358
Electrochimica Acta,357
Acta Materialia,350
Advanced Materials,346
Journal of Power Sources,345
Materials Research Bulletin,342
IOP Conference Series: Materials Science and Engineering,340
Scientific Reports,330
MATERIALS TRANSACTIONS,321
Thin Solid Films,314
The Journal of Physical Chemistry C,307
Journal of Physics and Chemistry of Solids,306
Journal of the Japan Society of Powder and Powder Metallurgy,305
[],296
Materials Chemistry and Physics,295
Materials,290
ACS Applied Energy Materials,286
Solid State Ionics,275
Applied Surface Science,274
Nano Energy,273
Nano Letters,272
RSC Advances,270
Materials Research Express,259
ACS Nano,248
Journal of the American Chemical Society,234
