year,papers
1885,1
1907,1
1910,1
1911,1
1920,1
1921,1
1923,2
1928,1
1929,1
1930,3
1931,2
1932,5
1934,1
1935,5
1936,3
1937,3
1938,2
1939,1
1940,1
1941,2
1943,1
1947,1
1948,1
1949,3
1950,3
1951,6
1952,5
1953,12
1954,11
1955,10
1956,20
1957,17
1958,18
1959,17
1960,20
1961,24
1962,21
1963,34
1964,43
1965,37
1966,40
1967,41
1968,54
1969,54
1970,75
1971,56
1972,89
1973,80
1974,75
1975,54
1976,78
1977,82
1978,75
1979,90
1980,85
1981,100
1982,72
1983,101
1984,98
1985,128
1986,116
1987,149
1988,185
1989,251
1990,246
1991,277
1992,231
1993,344
1994,476
1995,443
1996,467
1997,381
1998,367
1999,548
2000,519
2001,570
2002,552
2003,580
2004,807
2005,1009
2006,1169
2007,1285
2008,1215
2009,1461
2010,1783
2011,2037
2012,2220
2013,2353
2014,2639
2015,3553
2016,3577
2017,2748
2018,3333
2019,4580
2020,3931
2021,4091
2022,1553
2023,1109
2024,699
2025,487
2026,135
