descriptor,category,samples
2D iron-tetracyanoquinodimethane,FeTCNQ,1
6: other sample process info,hammer and anvil method,1
AC/QC type,IQC,681
AC/QC type,IAC,278
AC/QC type,DQC,27
AC/QC type,DAC,18
AC/QC type,other,15
AC/QC type,both DQC and IQC,5
AC/QC type,crystal,3
AC/QC type,amorphous,3
AbsoluteDensity,g/cm^3,118
AbsoluteDensity,kg/m^3,15
Anode active material,Li|Lithium metal,9235
Anode active material,Mg|Magnesium metal,2337
Anode active material,Alloy,160
Anode active material,Zn|Zinc metal,109
Anode active material,Al|Aluminum metal,87
Anode active material,Na|Sodium metal,72
Anode active material,Organic compounds,36
Anode active material,K|Potassium metal,34
Anode active material,Sn|Tin,24
Anode active material,Gr|Graphite,21
Anode active material,Bi|Bismuth,20
Anode active material,Metal,12
Anode active material,Sb|Antimony,10
Anode active material,Lithium alloy,5
Anode active material,Ca|Calcium metal,2
Anode active material,SiOx|Silicon Oxide,1
Anode additive 1,rGO|Reduced graphene oxide,83
Anode additive 1,Carbon material,60
Anode additive 1,Graphene,50
Anode additive 1,N-doped carbon|Nitrogen-doped carbon,25
Anode additive 1,Selenide,24
Anode additive 1,GO|Graphene oxide,20
Anode additive 1,Metal,18
Anode additive 1,CF|CNF|Carbon fiber|Carbon nanofiber,15
Anode additive 1,MoS2,14
Anode additive 1,Sulfide,14
Anode additive 1,VS2,11
Anode additive 1,Nitrogen-doped carbon nanofiber,10
Anode additive 1,Alloy,10
Anode additive 1,Ti3C2|Ti2C|MXene,9
Anode additive 1,Co,8
Anode additive 1,Co3Se4,7
Anode additive 1,Modified,5
Anode additive 1,Nitrogen-doped graphene,4
Anode additive 1,VO2,4
Anode additive 1,Oxide,4
Anode additive 1,CNT|Carbon nanotube,1
Anode additive 1,Phosphide,1
Anode additive 1,TiO2,1
Anode additive 1,ZnS,1
Anode additive 2,Co,15
Anode additive 2,CNT|Carbon nanotube,4
Anode additive 2,Nitride,4
Anode additive 2,Nitrogen-doped graphene,1
Anode additive 2,Ag,1
Anode areal capacity,mAh*cm^(-2),2118
Anode binder 1,PVDF|Polyvinylidene difluoride,697
Anode binder 1,CMC|Carboxyl methyl cellulose,536
Anode binder 1,SA|Sodium alginate,71
Anode binder 1,PTFE|Polytetrafluoroethylene,34
Anode binder 1,PAA|Polyacrylic acid,15
Anode binder 2,SBR|Styrene butadien rubber,21
Anode conductive agent,Super P,647
Anode conductive agent,CB|Carbon black,372
Anode conductive agent,AB|Acetylene black,269
Anode conductive agent,KB|Ketjen black,17
Anode conductive agent,MWCNT|MWNT|Multi wall carbon nanotube,14
Anode conductive agent,CNT|Carbon nanotube,2
Anode current collector,Cu|Copper,1871
Anode current collector,SUS|SS|Stainless Steel,103
Anode current collector,Al|Aluminum,62
Anode current collector,Ni|Nickel,7
Anode current collector,Na|Sodium,1
Applied field,-,9
Cathode active material,S|S8|Sulfur|Sublimated sulfur,4481
Cathode active material,PANS|SPAN|Polyacrylonitrile sulfur,800
Cathode active material,LFP|Lithium iron phosphate,769
Cathode active material,O2,508
Cathode active material,NMC811,292
Cathode active material,Organic compounds,287
Cathode active material,Mo6S8|Molybdenum sulfide,174
Cathode active material,CuS|Copper sulfide,165
Cathode active material,V2O5|Vanadium oxide,149
Cathode active material,MoS2|Molybdenum sulfide,136
Cathode active material,VS4|Vanadium sulfide,119
Cathode active material,LCO|Lithium cobalt oxide,114
Cathode active material,NMC622,93
Cathode active material,CuSe|Copper selenide,91
Cathode active material,MnO2|Manganese oxide,89
Cathode active material,VOx|Vanadium oxide,87
Cathode active material,Gr|Graphite,67
Cathode active material,Mexene,65
Cathode active material,Mn2O4|Manganese oxide,57
Cathode active material,NMC532,56
Cathode active material,Other NMC,48
Cathode active material,MPO4|Phosphate,48
Cathode active material,LTO|Lithium titanate,47
Cathode active material,Cu2Se|Copper selenide,42
Cathode active material,Na compounds,37
Cathode active material,CoS|Cobalt sulfide,35
Cathode active material,TiO2|Titanium oxide,32
Cathode active material,NCA,29
Cathode active material,FeS2|Iron sulfide,23
Cathode active material,Se|selenium,20
Cathode active material,CO2,20
Cathode active material,O2|Oxygen,18
Cathode active material,NVPF|Na3V2(PO4)2F3,18
