composition,samples
Li|S,5139
LMB,3689
RMB,2932
SIB,1593
ASSLSB,961
CoFe2O4,793
undefined,675
Ca3Co4O9,639
LAB,540
Bi2Te3,469
Fe3O4,407
Nd2Fe14B,367
C,359
Bi0.5Sb1.5Te3,354
CoSb3,305
ZnO,302
NiFe2O4,249
YBa2Cu3O7,241
SrTiO3,229
BaFe12O19,218
Zn4Sb3,192
Fe2O3,191
SrFe12O19,190
BiFeO3,189
PbTe,185
Bi0.4Sb1.6Te3,182
La0.7Ca0.3MnO3,172
TiO2,160
BiCuSeO,159
BaTiO3,159
Bi,158
Bi2Te2.7Se0.3,147
La0.7Sr0.3MnO3,137
PIB,137
CaMnO3,131
Sb2Te3,128
VO2,127
ZnFe2O4,124
FePt,124
Zn0.98Al0.02O,121
Si,121
Bi2Se3,116
Mg2Si,116
SnSe,116
ZIB,109
SnTe,104
Ba8Ga16Ge30,99
Fe,92
AIB,91
-,89
