prop_x,prop_y,curves,data_points
Temperature,Seebeck coefficient,36677,708738
Temperature,Thermal conductivity,25503,392794
Temperature,Electrical resistivity,21618,534932
Temperature,ZT,20666,286457
Temperature,Electrical conductivity,19069,278689
Temperature,Power factor,17823,254730
Temperature,Dielectric permittivity (ε’),9997,340043
Discharge capacity,Voltage,9020,181910
Charge capacity,Voltage,8813,177275
Magnetic field strength (H),magnetization_per_weight,8369,300522
Temperature,Lattice thermal conductivity,6717,91228
Cycle number,Discharge capacity,6400,233572
Temperature,Dielectric loss (tanδ),5298,163089
Magnetic field,magnetization_per_weight,4090,110339
C rate,Discharge capacity,2674,19151
Inverse temperature,Electrical conductivity,2314,44830
Time,Voltage,2177,52364
Cycle number,Voltage,2136,52297
Temperature,Carrier concentration,1918,26127
Inverse temperature,log(Electrical conductivity),1808,32555
Magnetic field strength (H),Magnetization,1306,45790
Temperature,Carrier mobility,1235,14817
Magnetic field strength (H),magnetization_per_volume,1228,43256
Temperature,magnetization_per_weight,1035,28544
Cycle number,Coulombic efficiency,954,35769
Areal capacity,Voltage,906,15704
Inverse temperature,Seebeck coefficient,756,13109
Rate,Discharge capacity,722,5508
Temperature,Electronic thermal conductivity,651,8065
Inverse temperature,Electrical resistivity,631,12381
Temperature,Dielectric loss (unknown),607,19139
Temperature,Hall coefficient,600,13250
Carrier concentration,Seebeck coefficient,548,1849
Temperature,Figure of merit Z,500,6004
Temperature,thermopower,496,16031
Electric field,polarization,432,22228
Temperature,Dielectric loss (ε’’),423,13890
Temperature,Hall mobility,404,6340
Voltage,Current density,402,18726
Temperature,Magnetic susceptibility_per_weight,341,9800
Electric field,Strain,337,19130
Magnetic field,magnetization_per_volume,297,10342
Electrical resistivity,Temperature Coefficient of Resistivity,271,324
Magnetic field,Electrical resistivity,257,4924
T,Electrical resistivity,239,9227
Magnetic Field,magnetization_per_weight,233,6304
Discharge capacity (based on sulfur weight),Voltage,209,3750
Charge capacity (based on sulfur weight),Voltage,202,4269
wavelength,absorbance,201,4791
Inversed Temperature,Electrical conductivity,174,2940
Temperature,total thermal conductivity,149,1965
Inverse temperature,log(Electrical resistivity),138,2554
Temperature,magnetic susceptibility,133,3615
1000/T,Electrical conductivity,131,2299
Inverse temperature,ln(Electrical conductivity),127,2077
Inverse temperature,lnσT,121,1145
Inversed Temperature,Electrical resistivity,120,1909
Inverse temperature,ln(Electrical resistivity),114,1921
Inverse temperature,logσT,113,1169
Cycle number,Discharge capacity (based on sulfur weight),111,4881
Temperature,Specific heat,105,3025
Temperature,Carrier thermal conductivity,102,1454
Temperature,electron thermal conductivity,99,1665
Carrier concentration,Carrier mobility,97,245
Carrier concentration,ZT,94,322
Magnetic field,Magnetization,91,3299
1000/T,Electrical resistivity,91,1668
Magnetic Field,Magnetization,87,3405
Capacity,Voltage,87,1476
1000/T,Log(row),81,1747
Temperature,Cp,80,1792
Temperature,log(Electrical conductivity),76,1344
Temperature,Magnetic susceptibility_per mol,76,1684
Inverse temperature,Thermal conductivity,73,891
Temperature,Thermal diffusivity,73,853
Voltage,Electric current,72,3163
Temperature,S,71,2368
Inverse temperature,Lattice thermal conductivity,67,945
T,ZT,64,1049
Inverse temperature,Carrier concentration,63,950
Magnetic field,Magnetic susceptibility_per_weight,62,2631
Temperature,Coercivity Field,61,679
Carrier concentration,Hall mobility,61,278
-,-,56,40
T,Seebeck coefficient,55,2362
1000/T,Seebeck coefficient,55,1131
T,Thermal conductivity,52,1916
Temperature,Resistance,51,2138
Cycle number,Hysteresis,51,1185
Inverse temperature,Hall coefficient,51,860
C rate,Discharge capacity (based on sulfur weight),49,315
Temperature,Thermopower,47,669
Magnetic field strength (H),Magnetic Moment,46,1582
Voltage,Displacement,45,2840
1000/T,thermopower,42,870
Magnetic field strength (H),magnetization_Wb*m/kg,42,1443
Temperature,Log(row),41,893
(10^3/T)^(1/4),Electrical conductivity,41,1326
Temperature,log(Electrical resistivity),40,1242
T,Electrical conductivity,38,813
Temperature,Specific heat_K,38,726
T,Hall coefficient,37,527
Temperature,Figure of merit,36,519
Temperature,Lattice contribution,35,486
1000/T,log(Electrical conductivity),33,438
T,magnetic susceptibility,31,1322
Temperature,ln(Electrical resistivity),30,700
T,Lattice thermal conductivity,28,356
Temperature,Voltage,28,764
Carrier concentration,Electrical conductivity,28,211
T^2,Specific heat,27,650
Temperature,Electronic contribution,27,1016
Carrier concentration,Power factor,27,423
Temperature,inverse magnetic susceptibility_mol,26,674
Magnetic field strength (H),Magnetic susceptibility_per_weight,26,802
Temperature,phonon thermal conductance,25,269
Temperature,Magnetization,25,605
Electrical conductivity,Power factor,24,132
Charge capacity (based on cathode weight),Voltage,23,497
Discharge capacity (based on cathode weight),Voltage,23,517
Temperature,Mobility,22,229
Temperature,Inverse magnetic susceptibility,22,728
1000/T,log(sigma),22,474
Temperature,Magnetic field,22,271
Inverse temperature,Power factor,21,327
Temperature,surface resistance,21,270
Temperature,magnetization_per_volume,20,492
Temperature,RH,20,768
Temperature,hall density,20,192
Magnetic Field,magnetization_per_volume,19,673
Temperature,Thermoelectric power,19,620
Temperature (oC),Electrical resistivity,19,411
Temperature,Specific heat capacity (J/gK),18,132
T,Inverse magnetic susceptibility,18,529
Temperature,ln(Electrical conductivity),18,267
Time,Electrical conductivity,18,310
T^(-1/4),Electrical resistivity,18,573
Pressure,Effective thermal conductivity,17,220
1000/T,Carrier concentration,16,213
