publisher,papers
Elsevier BV,17199
AIP Publishing,4763
Wiley,4324
American Chemical Society (ACS),4090
IOP Publishing,3720
Springer Science and Business Media LLC,3289
Royal Society of Chemistry (RSC),2697
Springer Nature,2395
American Physical Society (APS),2180
MDPI AG,1014
IEEE,982
Institute of Electrical and Electronics Engineers (IEEE),964
Informa UK Limited,891
Wiley-Blackwell,817
Japan Institute of Metals,564
Pleiades Publishing Ltd,395
Trans Tech Publications,316
Japan Society of Powder and Powder Metallurgy,305
Cambridge University Press (CUP),279
The Electrochemical Society,244
SPIE,213
SAGE Publications,196
AIP,196
"Institute of Physics, Polish Academy of Sciences",184
Japan Society of Applied Physics,181
EDP Sciences,180
Walter de Gruyter GmbH,165
Hindawi Limited,162
"Trans Tech Publications, Ltd.",151
World Scientific Pub Co Pte Lt,150
Ceramic Society of Japan,148
Physical Society of Japan,139
American Scientific Publishers,127
Oxford University Press (OUP),125
American Association for the Advancement of Science (AAAS),92
ASME,88
Korean Physical Society,87
American Vacuum Society,84
Author(s),76
The Korean Magnetics Society,72
Shanghai Institute of Ceramics,69
Springer International Publishing,69
Japan Society of Mechanical Engineers,63
SAE International,57
FapUNIFESP (SciELO),56
ASME International,51
Frontiers Media SA,48
"Society of Materials Science, Japan",45
Springer Singapore,45
Trans Tech Publications Ltd.,39
