period,papers,samples,curves,papers_cum,samples_cum,curves_cum
2017-09,0,461,1251,0,461,1251
2017-10,0,57,148,0,518,1399
2017-11,0,5,9,0,523,1408
2017-12,0,487,1451,0,1010,2859
2018-01,17285,1203,3270,17285,2213,6129
2018-02,69,437,1685,17354,2650,7814
2018-03,0,666,2602,17354,3316,10416
2018-04,0,545,1958,17354,3861,12374
2018-05,0,381,2036,17354,4242,14410
2018-06,0,621,2649,17354,4863,17059
2018-07,0,736,2892,17354,5599,19951
2018-08,4,640,2529,17358,6239,22480
2018-09,28,891,2926,17386,7130,25406
2018-10,2,1184,4111,17388,8314,29517
2018-11,26,803,2676,17414,9117,32193
2018-12,46,1018,3113,17460,10135,35306
2019-01,157,1716,5864,17617,11851,41170
2019-02,4,1049,3745,17621,12900,44915
2019-03,1253,986,3387,18874,13886,48302
2019-04,561,1281,3972,19435,15167,52274
2019-05,6,1379,4072,19441,16546,56346
2019-06,0,1066,2852,19441,17612,59198
2019-07,0,967,1835,19441,18579,61033
2019-08,0,765,2203,19441,19344,63236
2019-09,2,932,2460,19443,20276,65696
2019-10,1,1119,3343,19444,21395,69039
2019-11,6,1486,3467,19450,22881,72506
2019-12,40,1051,2422,19490,23932,74928
2020-01,1499,1012,2614,20989,24944,77542
2020-02,2078,1670,3961,23067,26614,81503
2020-03,1342,1305,4067,24409,27919,85570
2020-04,2379,1257,3679,26788,29176,89249
2020-05,22,1341,3742,26810,30517,92991
2020-06,214,1230,3982,27024,31747,96973
2020-07,119,1367,3500,27143,33114,100473
2020-08,29,816,1949,27172,33930,102422
2020-09,43,601,1763,27215,34531,104185
2020-10,28,633,1549,27243,35164,105734
2020-11,333,1034,2663,27576,36198,108397
2020-12,1439,666,1732,29015,36864,110129
2021-01,20,1396,2874,29035,38260,113003
2021-02,1553,542,2102,30588,38802,115105
2021-03,58,572,1864,30646,39374,116969
2021-04,382,468,1642,31028,39842,118611
2021-05,988,698,2416,32016,40540,121027
2021-06,190,573,1995,32206,41113,123022
2021-07,280,523,1703,32486,41636,124725
2021-08,71,479,1875,32557,42115,126600
2021-09,311,791,2098,32868,42906,128698
2021-10,1372,959,2378,34240,43865,131076
2021-11,2315,781,2284,36555,44646,133360
2021-12,26,736,2627,36581,45382,135987
2022-01,124,450,2226,36705,45832,138213
2022-02,4181,594,2022,40886,46426,140235
2022-03,60,553,1161,40946,46979,141396
2022-04,461,411,565,41407,47390,141961
2022-05,49,421,540,41456,47811,142501
2022-06,313,869,1289,41769,48680,143790
2022-07,46,961,1482,41815,49641,145272
2022-08,52,1097,1669,41867,50738,146941
2022-09,148,1152,1868,42015,51890,148809
2022-10,123,1309,1852,42138,53199,150661
2022-11,186,1741,2385,42324,54940,153046
2022-12,229,1547,2281,42553,56487,155327
2023-01,386,1993,3055,42939,58480,158382
2023-02,483,2449,3488,43422,60929,161870
2023-03,399,2655,3502,43821,63584,165372
2023-04,500,1829,2688,44321,65413,168060
2023-05,670,2352,3609,44991,67765,171669
2023-06,1174,2431,3758,46165,70196,175427
2023-07,572,2437,3507,46737,72633,178934
2023-08,501,1844,2593,47238,74477,181527
2023-09,407,2425,3263,47645,76902,184790
2023-10,402,2040,2784,48047,78942,187574
2023-11,500,2150,3145,48547,81092,190719
2023-12,531,1654,2531,49078,82746,193250
2024-01,409,1628,2244,49487,84374,195494
2024-02,275,1870,2496,49762,86244,197990
2024-03,207,1003,1287,49969,87247,199277
2024-04,333,1350,2024,50302,88597,201301
2024-05,316,923,1567,50618,89520,202868
2024-06,312,743,1247,50930,90263,204115
2024-07,187,761,1312,51117,91024,205427
2024-08,232,724,1195,51349,91748,206622
2024-09,323,865,1425,51672,92613,208047
2024-10,168,481,858,51840,93094,208905
2024-11,404,874,1345,52244,93968,210250
2024-12,145,1045,2502,52389,95013,212752
2025-01,230,1050,3024,52619,96063,215776
2025-02,514,892,2161,53133,96955,217937
2025-03,284,563,952,53417,97518,218889
2025-04,47,640,1094,53464,98158,219983
2025-05,124,804,1402,53588,98962,221385
2025-06,81,581,983,53669,99543,222368
2025-07,84,564,1172,53753,100107,223540
2025-08,67,340,545,53820,100447,224085
2025-09,25,359,542,53845,100806,224627
2025-10,56,338,501,53901,101144,225128
2025-11,183,617,1160,54084,101761,226288
2025-12,190,851,1606,54274,102612,227894
2026-01,105,753,1369,54379,103365,229263
2026-02,89,626,1540,54468,103991,230803
2026-03,191,725,2070,54659,104716,232873
2026-04,1475,97,178,56134,104813,233051
2026-05,17,30,53,56151,104843,233104
2026-06,29,209,446,56180,105052,233550
2026-07,112,254,594,56292,105306,234144
2026-08,128,560,1780,56420,105866,235924
2026-09,74,88,286,56494,105954,236210
